"","politician_name","vcard","url"
"11","John S. Wold","John S. WoldMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1969 – January 3, 1971Preceded byWilliam H. HarrisonSucceeded byTeno Roncalio
Personal detailsBornJohn Schiller Wold(1916-08-31)August 31, 1916East Orange, New Jersey,  U.S.DiedFebruary 19, 2017(2017-02-19) (aged 100)Casper, Wyoming, U.S.Political partyRepublicanSpouse(s)Jane Wold(m. 1946; died 2015)Alma materUnion College, Cornell University","https://en.wikipedia.org/wiki/John_S._Wold"
"12","Teno Roncalio","Teno RoncalioMember of the U.S. House of Representatives from Wyoming's at-large districtIn officeJanuary 3, 1965 – January 3, 1967Preceded byWilliam Henry HarrisonSucceeded byWilliam Henry HarrisonIn officeJanuary 3, 1971 – December 30, 1978Preceded byJohn S. WoldSucceeded byDick Cheney
Personal detailsBornCeleste Domenico Roncaglio(1916-03-23)March 23, 1916Rock Springs, Wyoming, U.S.DiedMarch 30, 2003(2003-03-30) (aged 87)Cheyenne, Wyoming, U.S.Political partyDemocraticSpouse(s)Cecilia Waters DomenicoChildren6MotherErnesta RoncalioFatherFrank RoncalioEducationUniversity of WyomingMilitary serviceAllegiance United StatesBranch/serviceUnited States ArmyYears of service1942–1945Unit18th Infantry RegimentAwardsSilver Star","https://en.wikipedia.org/wiki/Teno_Roncalio"
"13","Dick Cheney","Dick Cheney46th Vice President of the United StatesIn officeJanuary 20, 2001 – January 20, 2009PresidentGeorge W. BushPreceded byAl GoreSucceeded byJoe Biden17th United States Secretary of DefenseIn officeMarch 21, 1989 – January 20, 1993PresidentGeorge H. W. BushDeputyDonald J. Atwood Jr.Preceded byFrank CarlucciSucceeded byLes AspinHouse Minority WhipIn officeJanuary 3, 1989 – March 20, 1989LeaderRobert H. MichelPreceded byTrent LottSucceeded byNewt GingrichChair of the House Republican ConferenceIn officeJune 4, 1987 – January 3, 1989LeaderRobert H. MichelPreceded byJack KempSucceeded byJerry LewisMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeJanuary 3, 1979 – March 20, 1989Preceded byTeno RoncalioSucceeded byCraig L. Thomas7th White House Chief of StaffIn officeNovember 21, 1975 – January 20, 1977PresidentGerald FordPreceded byDonald RumsfeldSucceeded byHamilton Jordan (1979)
Personal detailsBornRichard Bruce Cheney (1941-01-30) January 30, 1941 (age 79)Lincoln, Nebraska, U.S.Political partyRepublicanSpouse(s)Lynne Vincent (m. 1964)ChildrenLizMaryEducationYale UniversityUniversity of Wyoming (BA, MA)University of Wisconsin–MadisonSignature","https://en.wikipedia.org/wiki/Dick_Cheney"
"14","Craig L. Thomas","Craig L. ThomasUnited States Senatorfrom WyomingIn officeJanuary 3, 1995 – June 4, 2007Preceded byMalcolm WallopSucceeded byJohn BarrassoMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeApril 26, 1989 – January 3, 1995Preceded byDick CheneySucceeded byBarbara CubinMember of the Wyoming House of Representativesfor Natrona CountyIn office1985–1989Multi-member district
Personal detailsBornCraig Lyle Thomas(1933-02-17)February 17, 1933Cody, Wyoming, U.S.DiedJune 4, 2007(2007-06-04) (aged 74)Bethesda, Maryland, U.S.Resting placeRiverside CemeteryCody, WyomingPolitical partyRepublicanSpouse(s)Susan Roberts ThomasAlma materUniversity of WyomingOccupationRancherMilitary serviceBranch/serviceUnited States Marine CorpsYears of service1955–1959RankCaptain","https://en.wikipedia.org/wiki/Craig_L._Thomas"
"15","Barbara Cubin","Barbara CubinSecretary of the House Republican ConferenceIn officeJanuary 3, 2001 – January 3, 2003LeaderDennis HastertPreceded byDeborah PryceSucceeded byJohn DoolittleMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeJanuary 3, 1995 – January 3, 2009Preceded byCraig ThomasSucceeded byCynthia LummisMember of the Wyoming Senatefor the 29th DistrictIn office1993–1995Preceded byCounty-based representationSucceeded byBill HawksMember of the Wyoming House of Representativesfor Natrona CountyIn office1987 – 1993Multi-member district
Personal detailsBorn (1946-11-30) November 30, 1946 (age 73)Salinas, California, U.S.Political partyRepublicanSpouse(s)Fritz Cubin (1975–2010)EducationCreighton University (BS)","https://en.wikipedia.org/wiki/Barbara_Cubin"
"16","Cynthia Lummis","Cynthia LummisMember of the U.S. House of Representativesfrom Wyoming's at-large districtIn officeJanuary 3, 2009 – January 3, 2017Preceded byBarbara CubinSucceeded byLiz Cheney27th Treasurer of WyomingIn officeJanuary 4, 1999 – January 9, 2007GovernorJim GeringerDave FreudenthalPreceded byStan SmithSucceeded byJoe MeyerMember of the Wyoming Senatefrom the 5th districtIn officeJanuary 14, 1993 – January 10, 1995Preceded byGary YordySucceeded byDonald LawlerActing Director of the Wyoming Office of State Lands and InvestmentsIn office1997–1998GovernorJim GeringerMember of the Wyoming House of Representativesfrom the Laramie County districtIn officeJanuary 7, 1985 – January 14, 1993In officeJanuary 8, 1979 – January 3, 1983Multi-member district
Personal detailsBornCynthia Marie Lummis (1954-09-10) September 10, 1954 (age 65)Cheyenne, Wyoming, U.S.Political partyRepublicanSpouse(s)Alvin Wiederspahn (1983–2014)Children1EducationUniversity of Wyoming (B.S., J.D.)WebsiteLummis For Wyoming","https://en.wikipedia.org/wiki/Cynthia_Lummis"
"17","Liz Cheney","Liz CheneyChair of the House Republican ConferenceIncumbentAssumed office January 3, 2019DeputyMark WalkerLeaderKevin McCarthyPreceded byCathy McMorris RodgersMember of the U.S. House of Representativesfrom Wyoming's at-large districtIncumbentAssumed office January 3, 2017Preceded byCynthia Lummis
Personal detailsBornElizabeth Lynne Cheney (1966-07-28) July 28, 1966 (age 53)Madison, Wisconsin, U.S.Political partyRepublicanSpouse(s)Philip Perry (m. 1993)Children5ParentsDick CheneyLynne VincentRelativesMary Cheney (sister)EducationColorado College (BA)University of Chicago (JD)WebsiteHouse website","https://en.wikipedia.org/wiki/Liz_Cheney"
"18","Edward Voigt","Edward VoigtMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeMarch 4, 1917 – March 3, 1927Preceded byMichael E. BurkeSucceeded byCharles A. Kading
Personal detailsBornDecember 1, 1873Bremen, GermanyDiedAugust 26, 1934(1934-08-26) (aged 60)Elkhart Lake, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/Edward_Voigt"
"19","John M. Nelson","John Mandt NelsonMember of the U.S. House of Representativesfrom Wisconsin's 3rd districtIn officeMarch 4, 1921 – March 3, 1933Preceded byJames G. MonahanSucceeded byGardner R. WithrowIn officeMarch 4, 1913 – March 3, 1919Preceded byArthur W. KoppSucceeded byJames G. MonahanMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeSeptember 4, 1906 – March 3, 1913Preceded byHenry Cullen AdamsSucceeded byMichael E. Burke
Personal detailsBornOctober 10, 1870Burke, WisconsinDiedJanuary 29, 1955(1955-01-29) (aged 84)Madison, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/John_M._Nelson"
"20","John C. Kleczka","John Casimir KleczkaMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeMarch 4, 1919 – March 3, 1923Preceded byWilliam J. CarySucceeded byJohn C. SchaferMember of the Wisconsin SenateIn office1909–1911
Personal detailsBornMay 6, 1885Milwaukee, WisconsinDiedApril 21, 1959(1959-04-21) (aged 73)Milwaukee, WisconsinNationalityAmericanPolitical partyRepublicanAlma materMarquette University","https://en.wikipedia.org/wiki/John_C._Kleczka"
"21","William H. Stafford","William H. StaffordMember of theU.S. House of Representativesfrom Wisconsin's 5th districtIn officeMarch 4, 1929 – March 3, 1933Preceded byVictor L. BergerSucceeded byThomas O'MalleyIn officeMarch 4, 1921 – March 3, 1923Preceded byVacantSucceeded byVictor L. BergerIn officeMarch 4, 1913 – March 3, 1919Preceded byVictor L. BergerSucceeded byVacantIn officeMarch 4, 1903 – March 3, 1911Preceded bySamuel S. BarneySucceeded byVictor L. Berger
Personal detailsBorn(1869-10-12)October 12, 1869Milwaukee, WisconsinDiedApril 22, 1957(1957-04-22) (aged 87)Milwaukee, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/William_H._Stafford"
"22","Florian Lampert","Florian LampertMember of the U.S. House of Representativesfrom Wisconsin's 6th districtIn officeNovember 5, 1918 – July 18, 1930Preceded byJames H. DavidsonSucceeded byMichael Reilly
Personal detailsBorn(1863-07-08)July 8, 1863West Bend, WisconsinDiedJuly 18, 1930(1930-07-18) (aged 67)Fond du Lac, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/Florian_Lampert"
"23","Joseph D. Beck","Joseph D. BeckMember of the U.S. House of Representativesfrom Wisconsin's 7th districtIn officeMarch 4, 1921 – March 3, 1929Preceded byJohn J. EschSucceeded byMerlin Hull
Personal detailsBorn(1866-03-14)March 14, 1866Bloomingdale, WisconsinDiedNovember 8, 1936(1936-11-08) (aged 70)Madison, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/Joseph_D._Beck"
"24","Edward E. Browne","Edward Everts BrowneMember of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeMarch 4, 1913 – March 3, 1931Preceded byJames H. DavidsonSucceeded byGerald J. BoileauMember of the Wisconsin SenateIn office1907–1912
Personal detailsBorn(1868-02-16)February 16, 1868Waupaca, WisconsinDiedNovember 23, 1945(1945-11-23) (aged 77)Evanston, IllinoisPolitical partyRepublican PartyAlma materUniversity of Wisconsin–MadisonOccupationAttorney","https://en.wikipedia.org/wiki/Edward_E._Browne"
"25","David G. Classon","The HonorableDavid G. ClassonMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeMarch 4, 1917 – March 3, 1923Preceded byThomas F. KonopSucceeded byGeorge J. SchneiderWisconsin Circuit Court Judgefor the 20th CircuitIn office1928 – January 1, 1930Appointed byFred R. ZimmermanPreceded byWilliam B. QuinlanSucceeded byArold Francis Murphy
Personal detailsBornDavid Guy Classon(1870-09-27)September 27, 1870Oconto, WisconsinDiedSeptember 6, 1930(1930-09-06) (aged 59)Oconto, WisconsinResting placeEvergreen Cemetery Oconto, WisconsinPolitical partyRepublicanSpouse(s)Myrtle Leila Orr(died 1931)Children4","https://en.wikipedia.org/wiki/David_Guy_Classon"
"26","James A. Frear","James A. FrearMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeMarch 4, 1933 – January 3, 1935Preceded byGeorge J. SchneiderSucceeded byMerlin HullMember of the U.S. House of Representativesfrom Wisconsin's 10th districtIn officeMarch 4, 1913 – March 3, 1933Preceded byElmer A. MorseSucceeded byHubert H. PeaveyMember of the Wisconsin State SenateIn office1905Member of the Wisconsin State AssemblyIn office190318th Secretary of State of WisconsinIn officeJanuary 7, 1907 – January 6, 1913GovernorJames O. DavidsonFrancis E. McGovernPreceded byWalter L. HouserSucceeded byJohn S. Donald
Personal detailsBorn(1861-10-24)October 24, 1861Hudson, WisconsinDiedMay 28, 1939(1939-05-28) (aged 77)Washington, D.C.Political partyRepublican","https://en.wikipedia.org/wiki/James_A._Frear"
"27","Adolphus Peter Nelson","Adolphus P. NelsonMember of the U.S. House of Representativesfrom Wisconsin's 11th districtIn officeNovember 5, 1918 – March 3, 1923Preceded byIrvine L. LenrootSucceeded byHubert H. Peavey
Personal detailsBorn(1872-03-28)March 28, 1872Holmes City Township, MinnesotaDiedAugust 21, 1927(1927-08-21) (aged 55)Grantsburg, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/Adolphus_Peter_Nelson"
"28","John C. Schafer","John C. SchaferMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeJanuary 3, 1939 – January 3, 1941Preceded byRaymond J. CannonSucceeded byThaddeus WasielewskiMember of the U.S. House of Representativesfrom Wisconsin's 4th districtIn officeMarch 4, 1923 – March 3, 1933Preceded byJohn C. KleczkaSucceeded byRaymond J. Cannon
Personal detailsBornMay 7, 1893Milwaukee, WisconsinDiedJune 9, 1962(1962-06-09) (aged 69)Pewaukee, WisconsinNationalityAmericanPolitical partyRepublican","https://en.wikipedia.org/wiki/John_C._Schafer"
"29","Victor L. Berger","Victor L. BergerMember of the U.S. House of Representativesfrom Wisconsin's 5th districtIn officeMarch 4, 1923 – March 3, 1929Preceded byWilliam H. StaffordSucceeded byWilliam H. StaffordIn officeMarch 4, 1919 – November 10, 1919Preceded byWilliam H. StaffordSucceeded byvacantIn officeMarch 4, 1911 – March 3, 1913Preceded byWilliam H. StaffordSucceeded byWilliam H. Stafford
Personal detailsBornVictor Berger(1860-02-28)February 28, 1860Nieder-Rehbach, Austria-HungaryDiedAugust 7, 1929(1929-08-07) (aged 69)Milwaukee, WisconsinPolitical partySocialist Party","https://en.wikipedia.org/wiki/Victor_L._Berger"
"30","George J. Schneider","George J. SchneiderMember of the U.S. House of Representativesfrom Wisconsin's 8th districtIn officeJanuary 3, 1935 – January 3, 1939Preceded byJames F. HughesSucceeded byJoshua L. JohnsMember of the U.S. House of Representativesfrom Wisconsin's 9th districtIn officeMarch 4, 1923 – March 3, 1933Preceded byDavid G. ClassonSucceeded byJames A. Frear
Personal detailsBorn(1877-10-30)October 30, 1877Grand Chute, WisconsinDiedMarch 12, 1939(1939-03-12) (aged 61)Toledo, OhioPolitical partyWisconsin Progressive Party
Republican","https://en.wikipedia.org/wiki/George_J._Schneider"
"31","Hubert H. Peavey","Hubert H. PeaveyMember of the U.S. House of Representativesfrom Wisconsin's 10th districtIn officeMarch 4, 1933 – January 3, 1935Preceded byJames A. FrearSucceeded byBernard J. GehrmannMember of the U.S. House of Representativesfrom Wisconsin's 11th districtIn officeMarch 4, 1923 – March 3, 1933Preceded byAdolphus Peter NelsonSucceeded byDistrict abolishedMember of the Wisconsin State AssemblyIn office1913-1915
Personal detailsBorn(1881-01-12)January 12, 1881Adams, MinnesotaDiedNovember 21, 1937(1937-11-21) (aged 56)Washburn, WisconsinPolitical partyRepublican","https://en.wikipedia.org/wiki/Hubert_H._Peavey"
"32","Charles A. Kading","Charles A. KadingMember of the U.S. House of Representativesfrom Wisconsin's 2nd districtIn officeMarch 4, 1927 – March 3, 1933Preceded byEdward VoigtSucceeded byCharles W. Henney
Personal detailsBornJanuary 14, 1874Lowell, WisconsinDiedJune 19, 1956(1956-06-19) (aged 82)Watertown, WisconsinPolitical partyRepublicanSpouse(s)Elizabeth Holst KadingAlma materUniversity of Wisconsin–MadisonValparaiso UniversityProfessionattorney","https://en.wikipedia.org/wiki/Charles_A._Kading"
