"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"1536","2006","Connecticut","Joe Lieberman","Connecticut for Lieberman",49.7,"
Ned Lamont ","100",39.7,0,0,0,1
"1537","2010","Connecticut","Richard Blumenthal","100",55.1,"
Linda McMahon ","200",43.3,0,0,0,1
"1538","2012","Connecticut","Chris Murphy","100",54.8,"
Linda McMahon ","200",43.1,0,0,0,1
"1539","2016","Connecticut","Richard Blumenthal","100",63.2,"
Dan Carter ","200",34.6,0,0,0,1
"1540","2018","Connecticut","Chris Murphy","100",59.5,"
Matthew Corey ","200",39.4,0,0,0,1
"1541","1942","Colorado","Eugene D. Millikin","200",56.1,"James A. Marsh ","100",42.1,0,0,0,1
"1542","1924","Colorado","Rice W. Means","200",50.2,"
Morrison Shafroth ","100",43.7,0,0,0,1
"1543","1932","Colorado","Karl C. Schuyler","200",48.76,"
Walter Walker ","100",48.51,0,0,1,1
"1544","1918","Colorado","Lawrence C. Phipps,","200",49.49,"
John F. Shafroth, ","100",47.94,0,0,1,1
"1545","1920","Colorado","Samuel D. Nicholson,","200",54.5,"
Tully Scot, ","100",39.3,0,0,0,1
"1546","1924","Colorado","Lawrence C. Phipps","200",50.2,"
Alva B. Adams ","100",43.9,0,0,0,1
"1547","1926","Colorado","Charles W. Waterman","200",50.3,"William E. Sweet ","100",46.4,0,0,0,1
"1548","1932","Colorado","Alva B. Adams","100",52.23,"
Karl C. Schuyler ","200",45.78,0,0,0,1
"1549","1936","Colorado","Edwin C. Johnson","100",63.5,"Raymond L. Sauter ","200",35.3,0,0,0,1
"1550","1938","Colorado","Alva B. Adams","100",58.2,"Archibald A. Lee ","200",40.2,0,0,0,1
"1551","1942","Colorado","Edwin C. Johnson","100",50.2,"Ralph L. Carr ","200",49.2,0,0,1,1
"1552","1944","Colorado","Eugene D. Millikin","200",56.1,"Barney L. Whatley ","100",43,0,0,0,1
"1553","1948","Colorado","Edwin C. Johnson","100",66.8,"Will F. Nicholson ","200",32.4,0,0,0,1
"1554","1950","Colorado","Eugene D. Millikin","200",53.3,"
John A. Carroll ","100",46.8,0,0,0,1
"1555","1954","Colorado","Gordon Allott","200",51.3,"
John A. Carroll ","100",48.7,0,0,0,1
"1556","1956","Colorado","John A. Carroll","100",50.2,"
Dan Thornton ","200",49.8,0,0,1,1
"1557","1960","Colorado","Gordon L. Allott","200",53.5,"
Robert L. Knous ","100",46,0,0,0,1
"1558","1962","Colorado","Peter H. Dominick","200",53.6,"John A. Carroll ","100",45.6,0,0,0,1
"1559","1966","Colorado","Gordon L. Allott","200",58,"
Roy Romer ","100",41.9,0,0,0,1
"1560","1968","Colorado","Peter H. Dominick","200",58.6,"Stephen L.R. McNichols ","100",41.5,0,0,0,1
"1561","1972","Colorado","Floyd K. Haskell","100",49.4,"Gordon L. Allott ","200",48.4,0,0,1,1
"1562","1974","Colorado","Gary Hart","100",57.2,"Peter H. Dominick ","200",39.5,0,0,0,1
"1563","1978","Colorado","William L. Armstrong","200",58.7,"Floyd K. Haskell ","100",40.3,0,0,0,1
"1564","1980","Colorado","Gary Hart","100",50.3,"Mary E. Buchanan ","200",48.7,0,0,1,1
"1565","1984","Colorado","William L. Armstrong","200",64.2,"
Nancy E. Dick ","100",34.6,0,0,0,1
"1566","1986","Colorado","Tim Wirth","100",49.9,"
Ken Kramer ","200",48.4,0,0,1,1
"1567","1990","Colorado","Hank Brown","200",55.7,"
Josie Heath ","100",41.6,0,0,0,1
"1568","1992","Colorado","Ben Nighthorse Campbell","100",51.8,"
Terry Considine ","200",42.7,0,0,0,1
"1569","1996","Colorado","Wayne Allard","200",51.4,"
Tom Strickland ","100",45.7,0,0,0,1
"1570","1998","Colorado","Ben Nighthorse Campbell","200",62.5,"
Dottie Lamm ","100",0.7,0,0,0,1
"1571","2002","Colorado","Wayne Allard","200",50.7,"
Tom Strickland ","100",45.8,0,0,0,1
"1572","2004","Colorado","Ken Salazar","100",51.3,"
Pete Coors ","200",46.5,0,0,0,1
"1573","2008","Colorado","Mark Udall","100",52.8,"
Bob Schaffer ","200",42.5,0,0,0,1
"1574","2010","Colorado","Michael Bennet","100",48.1,"
Ken Buck ","200",46.3,0,0,1,1
"1575","2014","Colorado","Cory Gardner","200",48.2,"
Mark Udall ","100",46.3,0,0,1,1
"1576","2016","Colorado","Michael Bennet","100",50,"
Darryl Glenn ","200",44.3,0,0,0,1
"1577","1946","California","William F. Knowland","200",55.8,"Will Rogers Jr. ","100",15.9,0,0,0,1
"1578","1954","California","Thomas Kuchel","200",53.2,"
Samuel W. Yorty ","100",45.5,0,0,0,1
"1579","1992","California","Dianne Feinstein","100",54.3,"
John F. Seymour ","200",38,0,0,0,1
"1580","1920","California","Samuel M. Shortridge,","200",49,"
James D. Phelan, ","100",40.7,0,0,0,1
"1581","1922","California","Hiram W. Johnson","200",62.2,"
William J. Pearson ","100",23.8,0,0,0,1
"1582","1926","California","Samuel M. Shortridge","200",63.1,"John B. Elliott ","100",36.9,0,0,0,1
"1583","1928","California","Hiram W. Johnson","200",74.1,"
Minor Moore ","100",18.2,0,0,0,1
"1584","1932","California","William G. McAdoo","100",43.4,"
Tallant Tubbs ","200",30.8,0,0,0,1
"1585","1934","California","Hiram W. Johnson","200",94.5,"
George R. Kirkpatrick ","Socialist",5.3,0,0,0,1
"1586","1938","California","Sheridan Downey","100",54.4,"Philip Bancroft ","200",44.7,0,0,0,1
"1587","1940","California","Hiram W. Johnson","200",82.5,"
Fred Dyster ","Prohibition",13.5,0,0,0,1
"1588","1944","California","Sheridan Downey","100",52.3,"Frederick F. Houser ","200",47.7,0,0,0,1
"1589","1946","California","William F. Knowland","200",54.1,"Will Rogers Jr. ","100",44.2,0,0,0,1
"1590","1950","California","Richard M. Nixon","200",59.2,"
Helen Gahagan Douglas ","100",40.8,0,0,0,1
"1591","1952","California","William F. Knowland","200",87.7,"
Reuben W. Borough ","Independent Progressive",11.9,0,0,0,1
"1592","1956","California","Thomas H. Kuchel","200",54,"
Richard Richards ","100",45.6,0,0,0,1
"1593","1958","California","Clair Engle","100",57,"
Goodwin J. Knight ","200",42.9,0,0,0,1
"1594","1962","California","Thomas H. Kuchel","200",56.3,"Richard Richards ","100",43.4,0,0,0,1
"1595","1964","California","George Murphy","200",51.5,"Pierre Salinger ","100",48.5,0,0,0,1
"1596","1968","California","Alan Cranston","100",51.8,"Max Rafferty ","200",46.9,0,0,0,1
"1597","1970","California","John V. Tunney","100",53.9,"George Murphy ","200",44.3,0,0,0,1
"1598","1974","California","Alan Cranston","100",60.5,"H. L. Richardson ","200",36.2,0,0,0,1
"1599","1976","California","S. I. Hayakawa","200",50.2,"John V. Tunney ","100",46.9,0,0,0,1
"1600","1980","California","Alan Cranston","100",56.5,"Paul Gann ","200",37.1,0,0,0,1
"1601","1982","California","Pete Wilson","200",51.5,"
Jerry Brown ","100",44.8,0,0,0,1
"1602","1986","California","Alan Cranston","100",49.3,"
Ed Zschau ","200",47.8,0,0,1,1
"1603","1988","California","Pete Wilson","200",52.7,"
Leo T. McCarthy ","100",44,0,0,0,1
"1604","1992","California","Barbara Boxer","100",47.9,"
Bruce Herschensohn ","200",43,0,0,0,1
"1605","1994","California","Dianne Feinstein","100",46.7,"
Michael Huffington ","200",44.8,0,0,1,1
"1606","2000","California","Dianne Feinstein","100",55.8,"
Tom Campbell ","200",36.6,0,0,0,1
"1607","2004","California","Barbara Boxer","100",57.7,"
Bill Jones ","200",37.8,0,0,0,1
"1608","2006","California","Dianne Feinstein","100",59.4,"
Dick Mountjoy ","200",35.2,0,0,0,1
"1609","2010","California","Barbara Boxer","100",52.1,"
Carly Fiorina ","200",42.5,0,0,0,1
"1610","2012","California","Dianne Feinstein","100",62.5,"
Elizabeth Emken ","200",37.5,0,0,0,1
"1611","2016","California","Kamala Harris","100",61.8,"
Loretta Sanchez ","100",38.2,0,0,0,1
"1612","2018","California","Dianne Feinstein","100",54.2,"
Kevin de León ","100",45.8,0,0,0,1
"1613","1932","Arkansas","Hattie W. Caraway","100",91.6,"
Rex Floyd ","Independent",5.2,0,0,0,1
"1614","1936","Arkansas","John E. Miller","100",60.8,"Carl E. Bailey ","100",39.3,0,0,0,1
"1615","1918","Arkansas","Joseph Robinson","100",NA,NA,NA,NA,1,0,NA,1
"1616","1924","Arkansas","Joseph T. Robinson","100",73.5,"
Charles F. Cole ","200",26.5,0,0,0,1
"1617","1932","Arkansas","Hattie W. Caraway","100",89.5,"
John W. White ","200",10.5,0,0,0,1
"1618","1936","Arkansas","Joseph Robinson","100",81.8,"G. C. Ledbetter ","200",16.4,0,0,0,1
"1619","1938","Arkansas","Hattie W. Caraway","100",89.6,"C. D. Atkinson ","200",10.4,0,0,0,1
"1620","1942","Arkansas","John L. McClellan","100",NA,NA,NA,NA,1,0,NA,1
"1621","1944","Arkansas","J. William Fulbright","100",85.1,"Victor M. Wade ","200",14.9,0,0,0,1
"1622","1948","Arkansas","John L. McClellan","100",93.3,"R. Walter Tucker ","Independent",6.7,0,0,0,1
"1623","1950","Arkansas","J. William Fulbright","100",NA,NA,NA,NA,1,0,NA,1
"1624","1954","Arkansas","John L. McClellan","100",NA,NA,NA,NA,1,0,NA,1
"1625","1956","Arkansas","J. William Fulbright","100",83,"
Ben C. Henley ","200",17,0,0,0,1
"1626","1960","Arkansas","John L. McClellan","100",NA,NA,NA,NA,1,0,NA,1
"1627","1962","Arkansas","J. William Fulbright","100",68.7,"Kenneth Jones ","200",31.3,0,0,0,1
"1628","1966","Arkansas","John L. McClellan","100",NA,NA,NA,NA,1,0,NA,1
"1629","1968","Arkansas","J. William Fulbright","100",59.2,"Charles T. Bernard ","200",40.9,0,0,0,1
"1630","1972","Arkansas","John McClellan","100",60.8,"Wayne H. Babbitt ","200",39.1,0,0,0,1
"1631","1974","Arkansas","Dale Bumpers","100",84.9,"John H. Jones ","200",15.1,0,0,0,1
"1632","1978","Arkansas","David Pryor","100",76.5,"Tom Kelly ","200",16.3,0,0,0,1
"1633","1980","Arkansas","Dale Bumpers","100",59.1,"William Clark ","200",40.9,0,0,0,1
"1634","1984","Arkansas","David Pryor","100",57.3,"
Ed Bethune ","200",42.7,0,0,0,1
"1635","1986","Arkansas","Dale Bumpers","100",62.9,"
Asa Hutchinson ","200",37.1,0,0,0,1
"1636","1990","Arkansas","David Pryor","100",NA,NA,NA,NA,1,0,NA,1
"1637","1992","Arkansas","Dale Bumpers","100",60.2,"
Mike Huckabee ","200",39.8,0,0,0,1
"1638","1996","Arkansas","Tim Hutchinson","200",52.7,"
Winston Bryant ","100",47.3,0,0,0,1
"1639","1998","Arkansas","Blanche Lincoln","100",55.1,"
Fay Boozman ","200",42.2,0,0,0,1
"1640","2002","Arkansas","Mark Pryor","100",53.9,"
Tim Hutchinson ","200",46.1,0,0,0,1
"1641","2008","Arkansas","Mark Pryor","100",79.5,"
Rebekah Kennedy ","Green",20.5,0,0,0,1
"1642","2010","Arkansas","John Boozman","200",58,"
Blanche Lincoln ","100",36.9,0,0,0,1
"1643","2014","Arkansas","Tom Cotton","200",56.5,"
Mark Pryor ","100",39.4,0,0,0,1
"1644","2016","Arkansas","John Boozman","200",59.7,"
Conner Eldridge ","100",36.3,0,0,0,1
"1645","1920","Arizona","Ralph H. Cameron,","200",55.2,"
Marcus A. Smith, ","100",44.8,0,0,0,1
"1646","1922","Arizona","Henry F. Ashurst","100",65,"
James H. McClintock ","200",35,0,0,0,1
"1647","1926","Arizona","Carl Hayden","100",58.3,"Ralph H. Cameron ","200",41.7,0,0,0,1
"1648","1928","Arizona","Henry F. Ashurst","100",54.3,"
Ralph H. Cameron ","200",45.7,0,0,0,1
"1649","1932","Arizona","Carl Hayden","100",66.7,"
Ralph H. Cameron ","200",32.1,0,0,0,1
"1650","1934","Arizona","Henry F. Ashurst","100",72,"
J. E. Thompson ","200",25.6,0,0,0,1
"1651","1938","Arizona","Carl Hayden","100",76.5,"B. H. Clingan ","200",23.5,0,0,0,1
"1652","1940","Arizona","Ernest W. McFarland","100",71.6,"
I. A. Jennings ","200",28,0,0,0,1
"1653","1944","Arizona","Carl Hayden","100",69.4,"Fred W. Fickett ","200",30.6,0,0,0,1
"1654","1946","Arizona","Ernest W. McFarland","100",69.2,"Ward S. Powers ","200",30.1,0,0,0,1
"1655","1950","Arizona","Carl Hayden","100",62.8,"
Bruce Brockett ","200",37.2,0,0,0,1
"1656","1952","Arizona","Barry Goldwater","200",51.3,"
Ernest McFarland ","100",48.7,0,0,0,1
"1657","1956","Arizona","Carl Hayden","100",61.4,"
Ross F. Jones ","200",38.6,0,0,0,1
"1658","1958","Arizona","Barry Goldwater","200",56.1,"
Ernest W. McFarland ","100",43.9,0,0,0,1
"1659","1962","Arizona","Carl Hayden","100",54.9,"Evan Mecham ","200",45.1,0,0,0,1
"1660","1964","Arizona","Paul Fannin","200",51.4,"Roy Elson ","100",48.6,0,0,0,1
"1661","1968","Arizona","Barry Goldwater","200",57.2,"Roy Elson ","100",42.8,0,0,0,1
"1662","1970","Arizona","Paul Fannin","200",56,"Sam Grossman ","100",44,0,0,0,1
"1663","1974","Arizona","Barry Goldwater","200",58.3,"Jonathan Marshall ","100",41.7,0,0,0,1
"1664","1976","Arizona","Dennis DeConcini","100",54,"Sam Steiger ","200",43.3,0,0,0,1
"1665","1980","Arizona","Barry Goldwater","200",49.5,"Bill Schulz ","100",48.4,0,0,1,1
"1666","1982","Arizona","Dennis DeConcini","100",56.9,"
Pete Dunn ","200",40.3,0,0,0,1
"1667","1986","Arizona","John McCain","200",60.6,"
Richard Kimball ","100",39.4,0,0,0,1
"1668","1988","Arizona","Dennis DeConcini","100",56.7,"
Keith DeGreen ","200",41.1,0,0,0,1
"1669","1992","Arizona","John McCain","200",55.8,"
Claire Sargent ","100",31.6,0,0,0,1
"1670","1994","Arizona","Jon Kyl","200",53.7,"
Sam Coppersmith ","100",39.5,0,0,0,1
"1671","1998","Arizona","John McCain","200",68.7,"
Ed Ranger ","100",27.2,0,0,0,1
"1672","2000","Arizona","Jon Kyl","200",79.3,"
William Toel ","Independent",7.8,0,0,0,1
"1673","2006","Arizona","Jon Kyl","200",53.3,"
Jim Pederson ","100",43.5,0,0,0,1
"1674","2010","Arizona","John McCain","200",59.2,"
Rodney Glassman ","100",34.7,0,0,0,1
"1675","2012","Arizona","Jeff Flake","200",49.2,"
Richard Carmona ","100",46.1,0,0,0,1
"1676","2018","Arizona","Kyrsten Sinema","100",50,"
Martha McSally ","200",47.6,0,0,0,1
"1677","1970","Alaska","Ted Stevens","200",59.6,"Wendell P. Kay ","100",40.4,0,0,0,1
"1678","1958","Alaska","Bob Bartlett","100",83.8,"
R. E. Robertson ","200",15,0,0,0,1
"1679","1958","Alaska","Ernest Gruening","100",52.6,"
Mike Stepovich ","200",47.4,0,0,0,1
"1680","1960","Alaska","Bob Bartlett","100",63.4,"
Lee L. McKinley ","200",36.6,0,0,0,1
"1681","1962","Alaska","Ernest Gruening","100",58.1,"Ted Stevens ","200",41.9,0,0,0,1
"1682","1966","Alaska","Bob Bartlett","100",75.5,"
Lee L. McKinley ","200",24.5,0,0,0,1
"1683","1968","Alaska","Mike Gravel","100",45.1,"Elmer E. Rasmuson ","200",37.4,0,0,0,1
"1684","1972","Alaska","Ted Stevens","200",77.3,"Gene Guess ","100",22.7,0,0,0,1
"1685","1974","Alaska","Mike Gravel","100",58.3,"C. R. Lewis ","200",41.7,0,0,0,1
"1686","1978","Alaska","Ted Stevens","200",75.6,"Donald W. Hobbs ","100",24.1,0,0,0,1
"1687","1980","Alaska","Frank Murkowski","200",53.7,"Clark Gruening ","100",45.9,0,0,0,1
"1688","1984","Alaska","Ted Stevens","200",71.2,"
John E. Havelock ","100",28.5,0,0,0,1
"1689","1986","Alaska","Frank Murkowski","200",54,"
Glenn Olds ","100",44.1,0,0,0,1
"1690","1990","Alaska","Ted Stevens","200",67.2,"
Michael Beasley ","100",32.8,0,0,0,1
"1691","1992","Alaska","Frank Murkowski","200",53,"
Tony Smith ","100",38.4,0,0,0,1
"1692","1996","Alaska","Ted Stevens","200",76.7,"
Jeff Whittaker ","Green",12.5,0,0,0,1
"1693","1998","Alaska","Frank Murkowski","200",74.5,"
Joe Sonneman ","100",19.7,0,0,0,1
"1694","2004","Alaska","Lisa Murkowski","200",48.6,"
Tony Knowles ","100",45.5,0,0,0,1
"1695","2008","Alaska","Mark Begich","100",47.8,"
Ted Stevens ","200",46.6,0,0,1,1
"1696","2010","Alaska","Lisa Murkowski","200",39.5,"
Joe Miller ","200",35.5,0,0,0,1
"1697","2014","Alaska","Dan Sullivan","200",48,"
Mark Begich ","100",45.8,0,0,0,1
"1698","1920","Alabama","J. Thomas Heflin,","100",69.3,"
C. P. Lunsford, ","200",29.5,0,0,0,1
"1699","1946","Alabama","John Sparkman","100",NA,NA,NA,NA,1,0,NA,1
"1700","1978","Alabama","Donald W. Stewart","100",55.1,"James D. Martin ","200",43.3,0,0,0,1
"1701","1918","Alabama","John H. Bankhead","100",NA,NA,NA,NA,1,0,NA,1
"1702","1924","Alabama","J. Tom Heflin","100",75.2,"
F. H. Lathrop ","200",24.8,0,0,0,1
"1703","1926","Alabama","Hugo L. Black","100",80.9,"E. H. Dryer ","200",19.1,0,0,0,1
"1704","1932","Alabama","Hugo L. Black","100",86.3,"
J. Theodore Johnson ","200",13.8,0,0,0,1
"1705","1936","Alabama","John H. Bankhead II","100",87,"H. E. Berkstresser ","200",12.2,0,0,0,1
"1706","1938","Alabama","J. Lister Hill","100",86.4,"J. M. Pennington ","200",13.6,0,0,0,1
"1707","1942","Alabama","John H. Bankhead II","100",NA,NA,NA,NA,1,0,NA,1
"1708","1944","Alabama","Lister Hill","100",81.8,"John A. Posey ","200",17,0,0,0,1
"1709","1948","Alabama","John Sparkman","100",84,"Paul G. Parsons ","200",16,0,0,0,1
"1710","1950","Alabama","Lister Hill","100",76.5,"
John G. Crommelin, Jr. ","Independent",23.5,0,0,0,1
"1711","1954","Alabama","John Sparkman","100",82.5,"
Junius Foy Guin Jr. ","200",17.5,0,0,0,1
"1712","1956","Alabama","Lister Hill","100",NA,NA,NA,NA,1,0,NA,1
"1713","1960","Alabama","John Sparkman","100",70.2,"
Julian Elgin ","200",29.8,0,0,0,1
"1714","1962","Alabama","J. Lister Hill","100",50.9,"James D. Martin ","200",49.1,0,0,1,1
"1715","1966","Alabama","John Sparkman","100",60.1,"
John Grenier ","200",39,0,0,0,1
"1716","1968","Alabama","James Allen","100",70,"Perry O. Hooper, Sr. ","200",22.1,0,0,0,1
"1717","1972","Alabama","John Sparkman","100",62.3,"Winton M. Blount ","200",33.1,0,0,0,1
"1718","1974","Alabama","James Allen","100",95.8,"Alvin Abercrombie ","Prohibition",4.2,0,0,0,1
"1719","1978","Alabama","Howell Heflin","100",94,"Jerome B. Couch ","Prohibition",6,0,0,0,1
"1720","1980","Alabama","Jeremiah Denton","200",50.2,"Jim Folsom Jr. ","100",47.1,0,0,0,1
"1721","1984","Alabama","Howell Heflin","100",62.7,"
Albert L. Smith Jr. ","200",36.4,0,0,0,1
"1722","1986","Alabama","Richard Shelby","100",50.9,"
Jeremiah Denton ","200",49.1,0,0,1,1
"1723","1990","Alabama","Howell Heflin","100",60.7,"
William J. Cabaniss ","200",39.3,0,0,0,1
"1724","1992","Alabama","Richard Shelby","100",64.8,"
Richard Sellars ","200",33.1,0,0,0,1
"1725","1996","Alabama","Jeff Sessions","200",52.5,"
Roger Bedford ","100",45.5,0,0,0,1
"1726","1998","Alabama","Richard Shelby","200",63.2,"
Clayton Suddith ","100",NA,0,0,NA,1
"1727","2002","Alabama","Jeff Sessions","200",58.6,"
Susan Parker ","100",39.8,0,0,0,1
"1728","2008","Alabama","Jeff Sessions","200",63.4,"
Vivian Davis Figures ","100",36.5,0,0,0,1
"1729","2010","Alabama","Richard Shelby","200",65.3,"
William G. Barnes ","100",34.7,0,0,0,1
"1730","2014","Alabama","Jeff Sessions","200",97.25,"
Write-in ",NA,2.75,0,0,0,1
"1731","2016","Alabama","Richard Shelby","200",64,"
Ron Crumpton ","100",35.8,0,0,0,1
