"","year","State","District","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"1",1978,"Maine","1","David F. Emery","200",61.5,"John Quinn ","100",35.8,0,0,0,2
"2",1978,"Maine","2","Olympia Snowe","200",50.8,"Markham L. Gartley ","100",40.9,0,0,0,2
"3",1920,"Wyoming","at-large","Franklin Wheeler Mondell","200",61.5,"Wade H. Fowler ","100",26.5,0,0,0,2
"4",1922,"Wyoming","at-large","Charles E. Winter","200",52.6,"
Robert R. Rose ","100",46,0,0,0,2
"5",1924,"Wyoming",NA,"Charles E. Winter","200",58.7,"Theodore Wanerus ","100",38.9,0,0,0,2
"6",1926,"Wyoming",NA,"Charles E. Winter","200",60.8,"Thomas M. Fagan ","100",38.7,0,0,0,2
"7",1928,"Wyoming","at-large","Vincent Carter","200",51.7,"W. S. Kimball ","100",47.8,0,0,0,2
"8",1932,"Wyoming",NA,"Vincent Carter","200",49.7,"Paul R. Greever ","100",47.7,0,0,1,2
"9",1936,"Wyoming",NA,"Paul R. Greever","100",57.2,"Frank A. Barrett ","200",42.1,0,0,0,2
"10",1938,"Wyoming",NA,"Frank O. Horton","200",52.9,"Paul R. Greever ","100",47.1,0,0,0,2
"11",1940,"Wyoming","at-large","John J. McIntyre","100",53.4,"Frank O. Horton ","200",46.5,0,0,0,2
"12",1942,"Wyoming",NA,"Frank A. Barrett","200",50.7,"John J. McIntyre ","100",49.3,0,0,1,2
"13",1944,"Wyoming",NA,"Frank A. Barrett","200",55.7,"Charles E. Norris ","100",44.3,0,0,0,2
"14",1946,"Wyoming","at-large","Frank A. Barrett","200",56,"
John J. McIntyre ","100",44,0,0,0,2
"15",1948,"Wyoming","at-large","Frank A. Barrett","200",51.5,"L. G. Flannery ","100",48.5,0,0,0,2
"16",1950,"Wyoming",NA,"William H. Harrison","200",54.5,"John B. Clark ","100",45.5,0,0,0,2
"17",1952,"Wyoming",NA,"William H. Harrison","200",60.1,"Robert R. Rose Jr. ","100",39.9,0,0,0,2
"18",1954,"Wyoming","at-large","Edwin Keith Thomson","200",56.2,"Sam Tully ","100",43.8,0,0,0,2
"19",1956,"Wyoming","at-large","Edwin Keith Thomson","200",58.2,"Jerry A. O'Callaghan ","100",41.8,0,0,0,2
"20",1958,"Wyoming",NA,"Edwin Keith Thomson","200",53.6,"Ray Whitaker ","100",46.4,0,0,0,2
"21",1960,"Wyoming","at-large","William H. Harrison","200",52.3,"Hepburn T. Armstrong ","100",47.7,0,0,0,2
"22",1962,"Wyoming",NA,"William H. Harrison","200",61.4,"Louis A. Mankus ","100",38.6,0,0,0,2
"23",1966,"Wyoming","at-large","William H. Harrison","200",52.7,"
Al Christian ","100",47.3,0,0,0,2
"24",1968,"Wyoming","at-large","John S. Wold","200",62.7,"Velma Linford ","100",37.3,0,0,0,2
"25",1970,"Wyoming","at-large","Teno Roncalio","100",50.3,"
Harry Roberts ","200",49.7,0,0,1,2
"26",1972,"Wyoming","at-large","Teno Roncalio","100",51.7,"William Kidd ","200",NA,0,0,NA,2
"27",1974,"Wyoming","at-large","Teno Roncalio","100",54.7,"Tom Strock ","200",45.3,0,0,0,2
"28",1976,"Wyoming","at-large","Teno Roncalio","100",56.4,"Larry Hart ","200",43.6,0,0,0,2
"29",1978,"Wyoming","at-large","Dick Cheney","200",58.6,"William D. Bagley ","100",41.4,0,0,0,2
"30",1980,"Wyoming","at-large","Dick Cheney","200",68.6,"Jim Rogers ","100",31.4,0,0,0,2
"31",1982,"Wyoming","at-large","Dick Cheney","200",71.1,"
Ted Hommel ","100",28.9,0,0,0,2
"32",1986,"Wyoming","at-large","Dick Cheney","200",69.5,"
Rick Gilmore ","100",30.5,0,0,0,2
"33",1988,"Wyoming","at-large","Dick Cheney","200",66.6,"Bryan Sharratt ","100",31.8,0,0,0,2
"34",1990,"Wyoming","at-large","Craig L. Thomas","200",55.1,"
Pete Maxfield ","100",44.9,0,0,0,2
"35",1996,"Wyoming","at-large","Barbara Cubin","200",55.24,"Pete Maxfield ","100",40.82,0,0,0,2
"36",1998,"Wyoming","at-large","Barbara Cubin","200",57.8,"Scott Farris ","100",38.7,0,0,0,2
"37",2000,"Wyoming","at-large","Barbara Cubin","200",66.8,"
Michael Allen Green ","100",28.6,0,0,0,2
"38",2002,"Wyoming",NA,"Barbara Cubin","200",60.51,"Ron Akin ","100",36.21,0,0,0,2
"39",2004,"Wyoming","at-large","Barbara Cubin","200",55.3,"
Ted Ladd ","100",NA,0,0,NA,2
"40",2006,"Wyoming","at-large","Barbara Cubin","200",48.3,"
Gary Trauner ","100",47.8,0,0,1,2
"41",2008,"Wyoming","at-large","Cynthia Lummis","200",52.6,"
Gary Trauner ","100",42.8,0,0,0,2
"42",2012,"Wyoming","at-large","Cynthia Lummis","200",69.1,"Chris Henrichsen ","100",23.8,0,0,0,2
"43",2018,"Wyoming","at-large","Liz Cheney","200",63.7,"
Greg Hunter ","100",29.8,0,0,0,2
"44",1920,"Wisconsin","1","Henry A. Cooper","200",75.9,"Andrew F. Stahl ","100",20.3,0,0,0,2
"45",1920,"Wisconsin","2","Edward Voigt","200",67.2,"Harry W. Bolens ","100",24.3,0,0,0,2
"46",1920,"Wisconsin","3","John M. Nelson","200",69.1,"James W. Murphy ","100",30.9,0,0,0,2
"47",1920,"Wisconsin","4","John C. Kleczka","200",50.2,"Robert Buech ","Socialist",38.5,0,0,0,2
"48",1920,"Wisconsin","5","William H. Stafford","200",54.5,"Victor L. Berger ","Socialist",45.5,0,0,0,2
"49",1920,"Wisconsin","6","Florian Lampert","200",68.7,"Leo P. Fox ","100",21,0,0,0,2
"50",1920,"Wisconsin","7","Joseph D. Beck","200",78.3,"Robert H. Clarke ","Prohibitionist",18.8,0,0,0,2
"51",1920,"Wisconsin","8","Edward E. Browne","200",61.8,"George W. Lippert ","Socialist",26.5,0,0,0,2
"52",1920,"Wisconsin","9","David Guy Classon","200",59.2,"A. R. McDonald ","100",37.2,0,0,0,2
"53",1920,"Wisconsin","10","James A. Frear","200",99.4,"Thomas Ryan ","Independent",0.5,0,0,0,2
"54",1920,"Wisconsin","11","Adolphus Peter Nelson","200",85.3,"John P. Jensen ","Socialist",14.6,0,0,0,2
"55",1922,"Wisconsin","1","Henry A. Cooper","200",94.6,"
Niels P. Nielsen ","Socialist Labor",5.4,0,0,0,2
"56",1922,"Wisconsin","2","Edward Voigt","200",80.9,"
William F. Schanen ","100",19.1,0,0,0,2
"57",1922,"Wisconsin","3","John M. Nelson","200",79.8,"
Martha Riley ","100",20.2,0,0,0,2
"58",1922,"Wisconsin","4","John C. Schafer","200",50.8,"
Edmund T. Melms ","Socialist Labor",49.2,0,0,1,2
"59",1922,"Wisconsin","5","Victor L. Berger","Socialist",53.3,"
William H. Stafford ","200",46.7,0,0,0,2
"60",1922,"Wisconsin","6","Florian Lampert","200",86,"
W. E. Cavanaugh ","100",14,0,0,0,2
"61",1922,"Wisconsin","7","Joseph D. Beck","200",87.5,"
Bert A. Jollivette ","100",12.5,0,0,0,2
"62",1922,"Wisconsin","8","Edward E. Browne","200",92,"
Herman A. Marth ","Socialist Labor",8,0,0,0,2
"63",1922,"Wisconsin","9","George J. Schneider","200",61.5,"
Henry Graass ","Progressive",38.5,0,0,0,2
"64",1922,"Wisconsin","10","James A. Frear","200",98.5,"
Olin Swenson ","Socialist Labor",1.5,0,0,0,2
"65",1922,"Wisconsin","11","Hubert H. Peavey","200",NA,NA,NA,NA,1,0,NA,2
"66",1924,"Wisconsin","1","Henry A. Cooper","200",72,"Calvin Stewart ","100",28,0,0,0,2
"67",1924,"Wisconsin","2","Edward Voigt","200",70.5,"Ernst C. Wrucke ","100",29.5,0,0,0,2
"68",1924,"Wisconsin","3","John M. Nelson","200",77,"William Victoria ","100",23,0,0,0,2
"69",1924,"Wisconsin","4","John C. Schafer","200",60.9,"Leo Krzycki ","S",39.1,0,0,0,2
"70",1924,"Wisconsin","5","Victor L. Berger","S",50.4,"Ernst A. Braun ","200",49.6,0,0,1,2
"71",1924,"Wisconsin","6","Florian Lampert","200",70.6,"M. K. Reilly ","100",29.4,0,0,0,2
"72",1924,"Wisconsin","7","Joseph D. Beck","200",82.2,"W. D. Martin ","100",17.8,0,0,0,2
"73",1924,"Wisconsin","8","Edward E. Browne","200",100,"R. J. Walsh ","I",0,0,0,0,2
"74",1924,"Wisconsin","9","George J. Schneider","200",71,"T. J. Reinert ","100",29,0,0,0,2
"75",1924,"Wisconsin","10","James A. Frear","200",81.6,"Thomas A. Ryan ","100",18.4,0,0,0,2
"76",1924,"Wisconsin","11","Hubert H. Peavey","200",78.2,"John A. Cadigan ","100",21.8,0,0,0,2
"77",1926,"Wisconsin","1","Henry A. Cooper","200",NA,NA,NA,NA,1,0,NA,2
"78",1926,"Wisconsin","2","Charles A. Kading","200",69.4,"Ernst C. Wrucke ","100",19.3,0,0,0,2
"79",1926,"Wisconsin","3","John M. Nelson","200",NA,NA,NA,NA,1,0,NA,2
"80",1926,"Wisconsin","4","John C. Schafer","200",48,"Edmund T. Melms ","S",35.2,0,0,0,2
"81",1926,"Wisconsin","5","Victor L. Berger","S",48.8,"William H. Stafford ","200",44.9,0,0,0,2
"82",1926,"Wisconsin","6","Florian Lampert","200",76,"B. F. Sheridan ","100",24,0,0,0,2
"83",1926,"Wisconsin","7","Joseph D. Beck","200",86.1,"A. H. Schubert ","I",9.6,0,0,0,2
"84",1926,"Wisconsin","8","Edward E. Browne","200",91.9,"R. J. Walsh ","I",8.1,0,0,0,2
"85",1926,"Wisconsin","9","George J. Schneider","200",NA,NA,NA,NA,1,0,NA,2
"86",1926,"Wisconsin","10","James A. Frear","200",97.4,"Otto D. Kahl ","Proh",2.6,0,0,0,2
"87",1926,"Wisconsin","11","Hubert H. Peavey","200",70.2,"Theodore M. Thomas ","I",26.8,0,0,0,2
"88",1928,"Wisconsin","1","Henry A. Cooper","200",80.2,"William C. Kiernan ","100",19.8,0,0,0,2
"89",1928,"Wisconsin","2","Charles A. Kading","200",69.9,"Eugene A. Clifford ","100",30.1,0,0,0,2
"90",1928,"Wisconsin","3","John M. Nelson","200",74.7,"William Victora ","100",24.1,0,0,0,2
"91",1928,"Wisconsin","4","John C. Schafer","200",44.1,"William J. Kershaw ","100",33.9,0,0,0,2
"92",1928,"Wisconsin","5","William H. Stafford","200",38.9,"Victor L. Berger ","S",38.2,0,0,1,2
"93",1928,"Wisconsin","6","Florian Lampert","200",69.2,"Morley G. Kelly ","100",30.8,0,0,0,2
"94",1928,"Wisconsin","7","Merlin Hull","200",72.4,"A. H. Schubert ","100",27,0,0,0,2
"95",1928,"Wisconsin","8","Edward E. Browne","200",74,"R. J. Walsh ","100",25.2,0,0,0,2
"96",1928,"Wisconsin","9","George J. Schneider","200",60.4,"James H. McGillan ","100",38.5,0,0,0,2
"97",1928,"Wisconsin","10","James A. Frear","200",81.4,"Miles H. McNally ","100",18.6,0,0,0,2
"98",1928,"Wisconsin","11","Hubert H. Peavey","200",80.8,"Frank P. Kennedy ","100",17.1,0,0,0,2
"99",1932,"Wisconsin","1","George Washington Blanchard","200",48.5,"William D. Thompson ","100",45.8,0,0,0,2
"100",1932,"Wisconsin","2","Charles W. Henney","100",56.2,"John B. Gay ","200",42,0,0,0,2
"101",1932,"Wisconsin","3","Gardner R. Withrow","200",60.6,"John J. Boyle ","100",39.4,0,0,0,2
"102",1932,"Wisconsin","4","Raymond Joseph Cannon","100",51,"John C. Schafer ","200",28.1,0,0,0,2
"103",1932,"Wisconsin","5","Thomas O'Malley","100",43.8,"Joseph A. Padway ","200",24.9,0,0,0,2
"104",1932,"Wisconsin","6","Michael Reilly","100",59.1,"Louis J. Fellens ","200",38.7,0,0,0,2
"105",1932,"Wisconsin","7","Gerald J. Boileau","200",51.3,"Frank D. Chapman ","100",48.7,0,0,0,2
"106",1932,"Wisconsin","8","James Hughes","100",50.7,"George J. Schneider ","200",49.3,0,0,1,2
"107",1932,"Wisconsin","9","James A. Frear","200",56.9,"Miles H. McNally ","100",43.1,0,0,0,2
"108",1932,"Wisconsin","10","Hubert H. Peavey","200",59.2,"Peter B. Cadigan ","100",39.8,0,0,0,2
"109",1936,"Wisconsin","1","Thomas Ryum Amlie","Prog",52.5,"Paul E. Jorgenson ","200",47.5,0,0,0,2
"110",1936,"Wisconsin","2","Harry Sauthoff","Prog",62.6,"Frank R. Bentley ","200",37.4,0,0,0,2
"111",1936,"Wisconsin","3","Gardner R. Withrow","Prog",59.2,"J. Charles Pile ","200",40.8,0,0,0,2
"112",1936,"Wisconsin","4","Raymond Joseph Cannon","100",60.2,"Paul Gauer ","Prog",39.8,0,0,0,2
"113",1936,"Wisconsin","5","Thomas O'Malley","100",54.6,"Carl P. Dietz ","Prog",45.4,0,0,0,2
"114",1936,"Wisconsin","6","Michael Reilly","100",51.7,"Frank B. Keefe ","200",48.3,0,0,0,2
"115",1936,"Wisconsin","7","Gerald J. Boileau","Prog",61.4,"Arthur W. Prehm ","100",38.6,0,0,0,2
"116",1936,"Wisconsin","8","George J. Schneider","Prog",50.4,"John E. Cashman ","100",49.6,0,0,1,2
"117",1936,"Wisconsin","9","Merlin Hull","Prog",80.7,"Edwin J. Larkin ","100",19.3,0,0,0,2
"118",1936,"Wisconsin","10","Bernard J. Gehrmann","Prog",61.9,"Philip E. Nelson ","200",38.1,0,0,0,2
"119",1938,"Wisconsin","1","Stephen Bolles","200",49.1,"Francis H. Wendt ","Prog",32,0,0,0,2
"120",1938,"Wisconsin","2","Charles Hawks, Jr.","200",44.8,"Harry Sauthoff ","Prog",43.3,0,0,1,2
"121",1938,"Wisconsin","3","Harry W. Griswold","200",50.1,"Gardner R. Withrow ","Prog",42,0,0,0,2
"122",1938,"Wisconsin","4","John C. Schafer","200",32,"Thaddeus F. B. Wasielowski ","100",NA,0,0,NA,2
"123",1938,"Wisconsin","5","Lewis D. Thill","200",43.1,"Thomas O'Malley ","100",28.6,0,0,0,2
"124",1938,"Wisconsin","6","Frank B. Keefe","200",53.6,"Michael Reilly ","100",30.1,0,0,0,2
"125",1938,"Wisconsin","7","Reid F. Murray","200",48.9,"Gerald J. Boileau ","Prog",38,0,0,0,2
"126",1938,"Wisconsin","8","Joshua L. Johns","200",36.2,"George J. Schneider ","Prog",31.5,0,0,0,2
"127",1938,"Wisconsin","9","Merlin Hull","Prog",53.4,"Hugh M. Jones ","200",40.3,0,0,0,2
"128",1938,"Wisconsin","10","Bernard J. Gehrmann","Prog",57.5,"James H. Carroll ","200",42.5,0,0,0,2
"129",1940,"Wisconsin","1","Stephen Bolles","200",55.8,"Stanley W. Slagg ","Progressive",22.8,0,0,0,2
"130",1940,"Wisconsin","2","Harry Sauthoff","Progressive",44.2,"Charles Hawks Jr. ","200",42.5,0,0,1,2
"131",1940,"Wisconsin","3","William H. Stevenson","200",46,"Gardner R. Withrow ","Progressive",44,0,0,1,2
"132",1940,"Wisconsin","5","Lewis D. Thill","200",44.4,"James M. Pasch ","Progressive",32.8,0,0,0,2
"133",1940,"Wisconsin","6","Frank B. Keefe","200",57.4,"Jacob A. Fessler ","100",25.9,0,0,0,2
"134",1940,"Wisconsin","7","Reid F. Murray","200",51.6,"Gerald J. Boileau ","Progressive",35.7,0,0,0,2
"135",1940,"Wisconsin","8","Joshua L. Johns","200",55.8,"Michael F. Kresky ","Progressive",44.2,0,0,0,2
"136",1940,"Wisconsin","9","Merlin Hull","Progressive",52.8,"John R. Nygaard ","200",41.4,0,0,0,2
"137",1940,"Wisconsin","10","Bernard J. Gehrmann","Progressive",48,"Peter Van Nostrand ","200",35.7,0,0,0,2
"138",1942,"Wisconsin","1","Lawrence H. Smith","200",71.9,"Bernard F. Magruder ","100",26.1,0,0,0,2
"139",1942,"Wisconsin","2","Harry Sauthoff","Prog",50.2,"Charles Hawks, Jr. ","200",39.6,0,0,0,2
"140",1942,"Wisconsin","3","William H. Stevenson","200",46.9,"Gardner R. Withrow ","Prog",42.6,0,0,0,2
"141",1942,"Wisconsin","5","Howard J. McMurray","100",43.2,"Lewis D. Thill ","200",37.4,0,0,0,2
"142",1942,"Wisconsin","6","Frank B. Keefe","200",62.2,"Eugene Schallern ","100",20.1,0,0,0,2
"143",1942,"Wisconsin","7","Reid F. Murray","200",71.9,"John A. Kennedy ","100",28.1,0,0,0,2
"144",1942,"Wisconsin","8","LaVern Dilweg","100",54.5,"Joshua L. Johns ","200",45.5,0,0,0,2
"145",1942,"Wisconsin","9","Merlin Hull","Prog",61.8,"George H. Hipke ","200",32.6,0,0,0,2
"146",1942,"Wisconsin","10","Alvin E. O'Konski","200",48.4,"Bernard J. Gehrmann ","Prog",41.1,0,0,0,2
"147",1944,"Wisconsin","1","Lawrence H. Smith","200",74.8,"John K. Kyle ","Prog",24.2,0,0,0,2
"148",1944,"Wisconsin","2","Robert Kirkland Henry","200",56.8,"John W. Nash ","100",25.9,0,0,0,2
"149",1944,"Wisconsin","3","William H. Stevenson","200",69.9,"William D. Carroll ","100",25.4,0,0,0,2
"150",1944,"Wisconsin","5","Andrew Biemiller","100",50.8,"Lewis D. Thill ","200",45.2,0,0,0,2
"151",1944,"Wisconsin","6","Frank B. Keefe","200",66.5,"Henry Danes ","100",32.3,0,0,0,2
"152",1944,"Wisconsin","7","Reid F. Murray","200",69.3,"William H. Ludwig ","100",30.1,0,0,0,2
"153",1944,"Wisconsin","8","John W. Byrnes","200",51.1,"LaVern Dilweg ","100",45.5,0,0,0,2
"154",1944,"Wisconsin","9","Merlin Hull","Prog",98.5,"Adolph Maassen ","S",1.5,0,0,0,2
"155",1944,"Wisconsin","10","Alvin E. O'Konski","200",57.8,"Elizabeth Hawkes ","100",31.4,0,0,0,2
"156",1946,"Wisconsin","1","Lawrence H. Smith","200",56.5,"
John R. Redstrom ","100",42.8,0,0,0,2
"157",1946,"Wisconsin","2","Robert Kirkland Henry","200",62.9,"
William G. Rice ","100",36.3,0,0,0,2
"158",1946,"Wisconsin","3","William H. Stevenson","200",96.1,"
Walter L. Alexander ","Socialist",3.9,0,0,0,2
"159",1946,"Wisconsin","4","John C. Brophy","200",36.5,"
Edmund C. Bobrowicz ","100",33,0,0,0,2
"160",1946,"Wisconsin","5","Charles J. Kersten","200",54.1,"
Andrew Biemiller ","100",42.3,0,0,0,2
"161",1946,"Wisconsin","6","Frank B. Keefe","200",64.2,"
Edwin W. Webster ","100",34.7,0,0,0,2
"162",1946,"Wisconsin","7","Reid F. Murray","200",71.6,"
Elmer E. Fraley ","100",27.8,0,0,0,2
"163",1946,"Wisconsin","8","John W. Byrnes","200",64.7,"
Martin J. Young ","100",35.3,0,0,0,2
"164",1946,"Wisconsin","9","Merlin Hull","200",99,"
Adolph Maassen ","Socialist",1,0,0,0,2
"165",1946,"Wisconsin","10","Alvin E. O'Konski","200",53,"
Henry J. Berquist ","100",42.4,0,0,0,2
"166",1948,"Wisconsin","1","Lawrence H. Smith","200",51.9,"Jack Harvey ","100",47.6,0,0,0,2
"167",1948,"Wisconsin","2","Glenn Robert Davis","200",53.9,"Horace W. Wilkie ","100",45.6,0,0,0,2
"168",1948,"Wisconsin","3","Gardner R. Withrow","200",69.2,"Frank J. Antoine ","100",30.4,0,0,0,2
"169",1948,"Wisconsin","4","Clement J. Zablocki","100",55.9,"John C. Brophy ","200",39.5,0,0,0,2
"170",1948,"Wisconsin","5","Andrew Biemiller","100",53.1,"Charles J. Kersten ","200",44.8,0,0,0,2
"171",1948,"Wisconsin","6","Frank B. Keefe","200",55.5,"Kenneth Kunde ","100",43.8,0,0,0,2
"172",1948,"Wisconsin","7","Reid F. Murray","200",62.5,"Ralph E. Kronenwetter ","100",36.1,0,0,0,2
"173",1948,"Wisconsin","8","John W. Byrnes","200",56.6,"Martin J. Young ","100",42.7,0,0,0,2
"174",1948,"Wisconsin","9","Merlin Hull","200",98.1,"Linton Jahr ","Progressive",1,0,0,0,2
"175",1948,"Wisconsin","10","Alvin E. O'Konski","200",54.8,"Daniel W. Hoan ","100",41.6,0,0,0,2
"176",1950,"Wisconsin","1","Lawrence H. Smith","200",57.2,"Jack Harvey ","100",42.8,0,0,0,2
"177",1950,"Wisconsin","2","Glenn Robert Davis","200",57.6,"Horace W. Wilkie ","100",42.2,0,0,0,2
"178",1950,"Wisconsin","3","Gardner R. Withrow","200",58.8,"Patrick Lucey ","100",41,0,0,0,2
"179",1950,"Wisconsin","4","Clement J. Zablocki","100",60.9,"John C. Brophy ","200",39.1,0,0,0,2
"180",1950,"Wisconsin","5","Charles J. Kersten","200",51.6,"Andrew Biemiller ","100",48.4,0,0,0,2
"181",1950,"Wisconsin","6","William Van Pelt","200",65,"Kenneth Kunde ","100",35,0,0,0,2
"182",1950,"Wisconsin","7","Reid F. Murray","200",68.3,"Edward G. Gilbertson ","100",31.7,0,0,0,2
"183",1950,"Wisconsin","8","John W. Byrnes","200",62,"John W. Reynolds, Jr. ","100",37.9,0,0,0,2
"184",1950,"Wisconsin","9","Merlin Hull","200",70.8,"Arthur L. Henning ","100",29.2,0,0,0,2
"185",1950,"Wisconsin","10","Alvin E. O'Konski","200",57,"Rodney J. Edwards ","100",43,0,0,0,2
"186",1952,"Wisconsin","1","Lawrence H. Smith","200",59.4,"Arnie W. Agnew ","100",40.6,0,0,0,2
"187",1952,"Wisconsin","2","Glenn Robert Davis","200",62.9,"Horace W. Wilkie ","100",37.1,0,0,0,2
"188",1952,"Wisconsin","3","Gardner R. Withrow","200",75.1,"Edna Brown ","100",24.9,0,0,0,2
"189",1952,"Wisconsin","4","Clement J. Zablocki","100",64.3,"John C. Schafer ","200",35.7,0,0,0,2
"190",1952,"Wisconsin","5","Charles J. Kersten","200",51.6,"Andrew Biemiller ","100",48.4,0,0,0,2
"191",1952,"Wisconsin","6","William Van Pelt","200",71.7,"Ralph A. Norem ","100",28.3,0,0,0,2
"192",1952,"Wisconsin","7","Melvin R. Laird","200",72.3,"Ernest Kluck ","100",27.7,0,0,0,2
"193",1952,"Wisconsin","8","John W. Byrnes","200",73.6,"Robert C. Schultz ","100",26.4,0,0,0,2
"194",1952,"Wisconsin","9","Merlin Hull","200",65.2,"Kent L. Pillsbury ","100",34.8,0,0,0,2
"195",1952,"Wisconsin","10","Alvin E. O'Konski","200",67.4,"Roland Kannenberg ","100",32.6,0,0,0,2
"196",1954,"Wisconsin","1","Lawrence H. Smith","200",54.4,"Edward A. Krenzke ","100",45.6,0,0,0,2
"197",1954,"Wisconsin","2","Glenn Robert Davis","200",54,"Gaylord A. Nelson ","100",46,0,0,0,2
"198",1954,"Wisconsin","3","Gardner R. Withrow","200",62.1,"Joseph A. Seep ","100",37.9,0,0,0,2
"199",1954,"Wisconsin","4","Clement J. Zablocki","100",71.1,"John C. Schafer ","200",28.9,0,0,0,2
"200",1954,"Wisconsin","5","Henry S. Reuss","100",52.2,"Charles J. Kersten ","200",47.8,0,0,0,2
"201",1954,"Wisconsin","6","William Van Pelt","200",62.5,"Russel S. Johnson ","100",37.5,0,0,0,2
"202",1954,"Wisconsin","7","Melvin R. Laird","200",59.1,"Kenneth E. Anderson ","100",40.9,0,0,0,2
"203",1954,"Wisconsin","8","John W. Byrnes","200",62,"Jerome J. Reinke ","100",38,0,0,0,2
"204",1954,"Wisconsin","9","Lester Johnson","100",55.4,"William E. Owen ","200",44.6,0,0,0,2
"205",1954,"Wisconsin","10","Alvin E. O'Konski","200",59.8,"Basil G. Kennedy ","100",40.2,0,0,0,2
"206",1956,"Wisconsin","1","Lawrence H. Smith","200",57.1,"Gerald T. Flynn ","100",42.9,0,0,0,2
"207",1956,"Wisconsin","2","Donald Edgar Tewes","200",55.3,"Robert W. Kastenmeier ","100",44.7,0,0,0,2
"208",1956,"Wisconsin","3","Gardner R. Withrow","200",61.2,"Norman M. Clapp ","100",38.8,0,0,0,2
"209",1956,"Wisconsin","4","Clement J. Zablocki","100",65.7,"William J. Burke ","200",34.3,0,0,0,2
"210",1956,"Wisconsin","5","Henry S. Reuss","100",57.8,"Russell Wirth, Jr. ","200",42.2,0,0,0,2
"211",1956,"Wisconsin","6","William Van Pelt","200",67.2,"Rudolph J. Ploetz ","100",32.8,0,0,0,2
"212",1956,"Wisconsin","7","Melvin R. Laird","200",61.8,"Margaret Anderson ","100",38.2,0,0,0,2
"213",1956,"Wisconsin","8","John W. Byrnes","200",64.6,"Milo Singler ","100",35.4,0,0,0,2
"214",1956,"Wisconsin","9","Lester Johnson","100",51.4,"Arthur L. Peterson ","200",48.6,0,0,0,2
"215",1956,"Wisconsin","10","Alvin E. O'Konski","200",64.5,"Carl E. Lauri ","100",35.5,0,0,0,2
"216",1958,"Wisconsin","1","Gerald T. Flynn","100",50.6,"Eleanor J. Smith ","200",49.4,0,0,1,2
"217",1958,"Wisconsin","2","Robert W. Kastenmeier","100",52.1,"Donald Edgar Tewes ","200",47.9,0,0,0,2
"218",1958,"Wisconsin","3","Gardner R. Withrow","200",51.2,"Norman M. Clapp ","100",48.8,0,0,0,2
"219",1958,"Wisconsin","4","Clement J. Zablocki","100",74.1,"James J. Arnold ","200",25.9,0,0,0,2
"220",1958,"Wisconsin","5","Henry S. Reuss","100",69.5,"Otto R. Werkmeister ","200",30.5,0,0,0,2
"221",1958,"Wisconsin","6","William Van Pelt","200",52.8,"James Megellas ","100",47.2,0,0,0,2
"222",1958,"Wisconsin","7","Melvin R. Laird","200",60.5,"Kenneth Traeger ","100",39.5,0,0,0,2
"223",1958,"Wisconsin","8","John W. Byrnes","200",57.3,"Milo Singler ","100",42.7,0,0,0,2
"224",1958,"Wisconsin","9","Lester Johnson","100",63.1,"Charles A. Hornback ","200",36.9,0,0,0,2
"225",1958,"Wisconsin","10","Alvin E. O'Konski","200",67.1,"Basil G. Kennedy ","100",32.9,0,0,0,2
"226",1960,"Wisconsin","1","Henry C. Schadeberg","200",52.7,"Gerald T. Flynn ","100",47.3,0,0,0,2
"227",1960,"Wisconsin","2","Robert W. Kastenmeier","100",53.4,"Donald Edgar Tewes ","200",46.6,0,0,0,2
"228",1960,"Wisconsin","3","Vernon Wallace Thomson","200",54.6,"Norman M. Clapp ","100",45.4,0,0,0,2
"229",1960,"Wisconsin","4","Clement J. Zablocki","100",71.7,"Samuel P. Murray ","200",28.3,0,0,0,2
"230",1960,"Wisconsin","5","Henry S. Reuss","100",57.7,"Kirby Hendee ","200",42.3,0,0,0,2
"231",1960,"Wisconsin","6","William Van Pelt","200",55.8,"James Megellas ","100",44.2,0,0,0,2
"232",1960,"Wisconsin","7","Melvin R. Laird","200",67.1,"Kenneth Traeger ","100",32.9,0,0,0,2
"233",1960,"Wisconsin","8","John W. Byrnes","200",58.8,"Milo Singler ","100",41.2,0,0,0,2
"234",1960,"Wisconsin","9","Lester Johnson","100",56.5,"Perry M. Hull ","200",43.5,0,0,0,2
"235",1960,"Wisconsin","10","Alvin E. O'Konski","200",95.3,"John B. Chapple ","Write-in",4.7,0,0,0,2
"236",1962,"Wisconsin","1","Henry C. Schadeberg","200",53.3,"Gerald T. Flynn ","100",46.7,0,0,0,2
"237",1962,"Wisconsin","2","Robert W. Kastenmeier","100",52.5,"Ivan H. Kindschi ","200",47.5,0,0,0,2
"238",1962,"Wisconsin","3","Vernon Wallace Thomson","200",61.3,"Walter P. Thoresen ","100",38.7,0,0,0,2
"239",1962,"Wisconsin","4","Clement J. Zablocki","100",72.5,"David F. Tillotson ","200",27.5,0,0,0,2
"240",1962,"Wisconsin","5","Henry S. Reuss","100",63.6,"Thomas F. Nelson ","200",36.4,0,0,0,2
"241",1962,"Wisconsin","6","William Van Pelt","200",59.2,"John A. Race ","100",40.8,0,0,0,2
"242",1962,"Wisconsin","7","Melvin R. Laird","200",66.1,"John E. Evans ","100",33.9,0,0,0,2
